ԱԱԽ	ɑ ɑ χ ə
Պոլինեզիայում	p o l i n e z j ɑ j u m
Պոլո	p o l o
պոլոյի	p o l o j i
պոկում	p o k u m
Պոհամբան	p o h ɑ m b ɑ n
պոհուտուկավա	p o h u t u k ɑ v ɑ
պողոտաները	p o ʁ o t ɑ n e ɾ ə
Պողպատե	p o χ p ɑ t e
պոմպակայանի	p o m p ɑ k ɑ j ɑ n i
պոչ	p o t͡ʃʰ
պոչն	p o t͡ʃʰ n
Պոպուլյացիան	p o p u l j ɑ t͡sʰ j ɑ n
պոպուլյացիաներն	p o p u l j ɑ t͡sʰ j ɑ n e ɾ n
պոռնոգրաֆիայի	p o r n o ɡ ɾ ɑ f j ɑ j i
պոտենցիալ	p o t e n t͡sʰ j ɑ l
Պոտրոն	p o t ɾ o n
պորտուգալացի	p o ɾ t u ɡ ɑ l ɑ t͡sʰ i
Պորտուգալացիները	p o ɾ t u ɡ ɑ l ɑ t͡sʰ i n e ɾ ə
պորտուգալերեն	p o ɾ t u ɡ ɑ l e ɾ e n
պորտուգալերենը	p o ɾ t u ɡ ɑ l e ɾ e n ə
պուեբլոները	p u e b l o n e ɾ ə
Պուերտո	p u e ɾ t o
Պունախա	p u n ɑ χ ɑ
պուրակ	p u ɾ ɑ k
պուրակի	p u ɾ ɑ k i
պտղաբերության	p ə t ʁ ɑ b e ɾ u tʰ j ɑ n
պտղի	p ə t ʁ i
պտույտը	p ə t u j t ə
պտույտի	p ə t u j t i
պտույտով	p ə t u j t o v
պտտահողմերը	p ə t ə t ɑ h o ʁ m e ɾ ə
պտտահողմերը	p ə t t ɑ h o ʁ m e ɾ ə
պտտահողմի	p ə t ə t ɑ h o ʁ m i
պտտահողմի	p ə t t ɑ h o ʁ m i
պտտել	p ə t ə t e l
պտտելու	p ə t ə t e l u
Պտտվող	p ə t ə t v o ʁ
պտտվում	p ə t ə t v u m
Պրադեշի	p ɾ ɑ d e ʃ i
պրակտիկա	p ɾ ɑ k t i k ɑ
Պրահայում	p ɾ ɑ h ɑ j u m
պրայդեր	p ɾ ɑ j d e ɾ
պրայդներն	p ɾ ɑ j d n e ɾ n
Պրի-ից	p ɾ i i t͡sʰ
Պրի-ից	p ɾ i j i t͡sʰ
պրիի	p ɾ i j i
պրիի	p ɾ i i
պրիմատի	p ɾ i m ɑ t i
պրիմատների	p ɾ i m ɑ t n e ɾ i
պրիմիտիվ	p ɾ i m i t i v
Պրինցեսա	p ɾ i n t͡sʰ e s ɑ
Պրիում	p ɾ i u m
Պրիսի	p ɾ i s i
պրոդյուսերի	p ɾ o d j u s e ɾ i
Պրովենցանոյի	p ɾ o v e n t͡sʰ ɑ n o j i
Պրովենցանոն	p ɾ o v e n t͡sʰ ɑ n o n
պրոտոնից	p ɾ o t o n i t͡sʰ
պրոտոններ	p ɾ o t o n n e ɾ
Պրոտոններն	p ɾ o t o n n e ɾ n
պրոտոններով	p ɾ o t o n n e ɾ o v
պրոքսիներից	p ɾ o kʰ s i n e ɾ i t͡sʰ
պրոֆեսոր	p ɾ o f e s o ɾ
Ջագրը	d͡ʒ ɑ ɡ ɾ ə
ջազ	d͡ʒ ɑ z
Ջակարտայի	d͡ʒ ɑ k ɑ ɾ t ɑ j i
ջամայկացի	d͡ʒ ɑ m ɑ j k ɑ t͡sʰ i
Ջանկառլո	d͡ʒ ɑ ŋ k ɑ r l o
ջանք	d͡ʒ ɑ ŋ kʰ
ջանքերը	d͡ʒ ɑ ŋ kʰ e ɾ ə
ջանքերին	d͡ʒ ɑ ŋ kʰ e ɾ i n
ջանքերն	d͡ʒ ɑ ŋ kʰ e ɾ n
Ջառոմիր	d͡ʒ ɑ r o m i ɾ
ջատագովներ	d͡ʒ ɑ t ɑ ɡ o v n e ɾ
Ջաքար/Բումթանգ	d͡ʒ ɑ kʰ ɑ ɾ b u m tʰ ɑ ŋ ɡ
Ջելինեկն	d͡ʒ e l i n e k n
Ջեմի	d͡ʒ e m i
Ջեյմս	d͡ʒ e j m s
Ջերեմիա	d͡ʒ e ɾ e m j ɑ
Ջերին	d͡ʒ e ɾ i n
ջերմային	d͡ʒ e ɾ m ɑ j i n
ջերմաչափն	d͡ʒ e ɾ m ɑ t͡ʃʰ ɑ pʰ n
ջերմաստիճան	d͡ʒ e ɾ m ɑ s t i t͡ʃ ɑ n
ջերմաստիճանը	d͡ʒ e ɾ m ɑ s t i t͡ʃ ɑ n ə
ջերմաստիճանի	d͡ʒ e ɾ m ɑ s t i t͡ʃ ɑ n i
ջերմաստիճանները	d͡ʒ e ɾ m ɑ s t i t͡ʃ ɑ n n e ɾ ə
ջերմորեն	d͡ʒ e ɾ m o ɾ e n
ջերմություն	d͡ʒ e ɾ m u tʰ j u n
ջերմությունը	d͡ʒ e ɾ m u tʰ j u n ə
ջերմությունից	d͡ʒ e ɾ m u tʰ j u n i t͡sʰ
Ջեք	d͡ʒ e kʰ
Ջեֆ	d͡ʒ e f
Ջեֆֆերսոնի	d͡ʒ e f f e ɾ s o n i
Ջըրնըլ-Քոնսթիթյուշընը	d͡ʒ ə ɾ n ə l kʰ o n s tʰ i tʰ j u ʃ ə n ə
ջի	d͡ʒ i
Ջի-ն	d͡ʒ i n
Ջի-ում	d͡ʒ i u m
Ջի-ում	d͡ʒ i j u m
Ջիլարդը	d͡ʒ i l ɑ ɾ d ə
Ջին	d͡ʒ i n
ջինջ	d͡ʒ i n d͡ʒ
ջինսի	d͡ʒ i n s i
ջնջեց	d͡ʒ ə n d͡ʒ e t͡sʰ
ջնջումը	d͡ʒ ə n d͡ʒ u m ə
Ջոակիմն	d͡ʒ o ɑ k i m n
Ջոբսը	d͡ʒ o b s ə
ջոկատի	d͡ʒ o k ɑ t i
ջոկատները	d͡ʒ o k ɑ t n e ɾ ə
Ջոն	d͡ʒ o n
Ջոնգ	d͡ʒ o ŋ ɡ
Ջոնգեում	d͡ʒ o ŋ ɡ e u m
Ջոնդրոն	d͡ʒ o n d ɾ o n
Ջոնի	d͡ʒ o n i
Ջոնսոնը	d͡ʒ o n s o n ə
Ջոնսոնի	d͡ʒ o n s o n i
Ջոսոն	d͡ʒ o s o n
Ջովաննի	d͡ʒ o v ɑ n n i
Ջորջ	d͡ʒ o ɾ d͡ʒ
Ջուլիա	d͡ʒ u l i ɑ
Ջուլիա	d͡ʒ u l j ɑ
ջունգլի	d͡ʒ u ŋ ɡ l i
ջունգլիների	d͡ʒ u ŋ ɡ l i n e ɾ i
ջուր	d͡ʒ u ɾ
Ջուրդենը	d͡ʒ u ɾ d e n ə
Ջուրդենի	d͡ʒ u ɾ d e n i
ջուրը	d͡ʒ u ɾ ə
ջրածնային	d͡ʒ ə ɾ ɑ t͡s n ɑ j i n
Ջրածնի	d͡ʒ ə ɾ ɑ t͡s n i
ջրային	d͡ʒ ə ɾ ɑ j i n
ջրային/ճահճային	d͡ʒ ə ɾ ɑ j i n t͡ʃ ɑ h t͡ʃ ɑ j i n
ջրանցքը	d͡ʒ ə ɾ ɑ n t͡sʰ kʰ ə
ջրանցքով	d͡ʒ ə ɾ ɑ n t͡sʰ kʰ o v
ջրեր	d͡ʒ ə ɾ e ɾ
ջրերը	d͡ʒ ə ɾ e ɾ ə
ջրերի	d͡ʒ ə ɾ e ɾ i
ջրի	d͡ʒ ə ɾ i
ջրիմուռների	d͡ʒ ə ɾ i m u r n e ɾ i
Ջրիմուռներն	d͡ʒ ə ɾ i m u r n e ɾ n
ջրհեղեղի	d͡ʒ ə ɾ h e ʁ e ʁ i
ջրհեղեղից	d͡ʒ ə ɾ h e ʁ e ʁ i t͡sʰ
ջրով	d͡ʒ ə ɾ o v
ջրուղիները	d͡ʒ ə ɾ u ʁ i n e ɾ ə
ջրուղիներըԱյս	d͡ʒ ə ɾ u ʁ i n e ɾ ə ɑ j s
ջրում	d͡ʒ ə ɾ u m
ջրվեժ	d͡ʒ ə ɾ v e ʒ
ջրվեժները	d͡ʒ ə ɾ v e ʒ n e ɾ ə
ջրվեժների	d͡ʒ ə ɾ v e ʒ n e ɾ i
ջրվեժներն	d͡ʒ ə ɾ v e ʒ n e ɾ n
ռադարային	r ɑ d ɑ ɾ ɑ j i n
ռադարի	r ɑ d ɑ ɾ i
ռադիո	r ɑ d j o
ռադիոալիքները	r ɑ d j o ɑ l i kʰ n e ɾ ə
ռադիոակտիվ	r ɑ d j o ɑ k t i v
ռադիոթատրոն	r ɑ d j o tʰ ɑ t ɾ o n
ռադիոկատիվ	r ɑ d j o k ɑ t i v
ռադիոհաղորդման	r ɑ d j o h ɑ ʁ o ɾ tʰ m ɑ n
ռադիոյի	r ɑ d j o j i
ռադիոն	r ɑ d j o n
ռադիոներ	r ɑ d j o n e ɾ
Ռազմածովային	r ɑ z m ɑ t͡s o v ɑ j i n
Ռազմական	r ɑ z m ɑ k ɑ n
ռազմանավերը	r ɑ z m ɑ n ɑ v e ɾ ə
ռազմավարական	r ɑ z m ɑ v ɑ ɾ ɑ k ɑ n
Ռազմավարությունը	r ɑ z m ɑ v ɑ ɾ u tʰ j u n ə
Ռահուլ	r ɑ h u l
Ռամպրո	r ɑ m p ɾ o
Ռայան	r ɑ j ɑ n
Ռայմոնդ	r ɑ j m o n d
Ռանինգ	r ɑ n i ŋ ɡ
Ռաննելսը	r ɑ n n e l s ə
Ռանչի	r ɑ n t͡ʃʰ i
Ռաոնիկին	r ɑ o n i k i n
Ռաջու	r ɑ d͡ʒ u
ռասայական	r ɑ s ɑ j ɑ k ɑ n
ռասայի	r ɑ s ɑ j i
Ռարոտոնգան	r ɑ ɾ o t o ŋ ɡ ɑ n
ռեակտոր	r e ɑ k t o ɾ
ռեակտորներ	r e ɑ k t o ɾ n e ɾ
ռեակտորներն	r e ɑ k t o ɾ n e ɾ n
ռեակցիայի	r e ɑ k t͡sʰ j ɑ j i
ռեակցիաներ	r e ɑ k t͡sʰ j ɑ n e ɾ
ռեգբի	r e ɡ b i
ռեգբիի	r e ɡ b i i
ռեգբիի	r e ɡ b i j i
ռեգբին	r e ɡ b i n
ռեզոնանսի	r e z o n ɑ n s i
ռեժիսյուրայից	r e ʒ i s j u ɾ ɑ j i t͡sʰ
ռեժիսոր	r e ʒ i s o ɾ
Ռեիդը	r e i d ə
Ռեիդի	r e i d i
ռելիեֆներ	r e l i e f n e ɾ
ռելսերը	r e l s e ɾ ə
ռելսերն	r e l s e ɾ n
ռեկորդ	r e k o ɾ d
ռեկորդը	r e k o ɾ d ə
ռեկորդների	r e k o ɾ d n e ɾ i
Ռեյգանի	r e j ɡ ɑ n i
Ռեյդին	r e j d i n
Ռեյդն	r e j d n
Ռեյնի	r e j n i
Ռեյնջեր	r e j n d͡ʒ e ɾ
Ռեպուբլիկա	r e p u b l i k ɑ
Ռեջեփ	r e d͡ʒ e pʰ
ռեսուրսներ	r e s u ɾ s n e ɾ
ռեսուրսները	r e s u ɾ s n e ɾ ə
ռեսուրսների	r e s u ɾ s n e ɾ i
ռեսուրսներն	r e s u ɾ s n e ɾ n
ռեսուրսներով	r e s u ɾ s n e ɾ o v
ռեստորան	r e s t o ɾ ɑ n
ռեստորաններ	r e s t o ɾ ɑ n n e ɾ
ռեստորանների	r e s t o ɾ ɑ n n e ɾ i
ռեստորաններով	r e s t o ɾ ɑ n n e ɾ o v
ռեստորանում	r e s t o ɾ ɑ n u m
ռեքսը	r e kʰ s ə
Ռիգայի	r i ɡ ɑ j i
ռիթմերը	r i tʰ m e ɾ ə
ռիթմերի	r i tʰ m e ɾ i
Ռիինայի	r i i n ɑ j i
Ռիկ	r i k
Ռինգը	r i ŋ ɡ ə
Ռինգի	r i ŋ ɡ i
Ռիո	r i o
Ռիոմաջորե	r i o m ɑ d͡ʒ o ɾ e
Ռիչարդ	r i t͡ʃʰ ɑ ɾ d
ռիսկային	r i s k ɑ j i n
ռիսկը	r i s k ə
ռիսկից	r i s k i t͡sʰ
Ռիփից	r i pʰ i t͡sʰ
ռիփորթից	r i pʰ o ɾ tʰ i t͡sʰ
Ռո	r o
Ռոբերտ	r o b e ɾ t
Ռոբերտո	r o b e ɾ t o
Ռոբերտսը	r o b e ɾ t s ə
Ռոբին	r o b i n
Ռոդրիգո	r o d ɾ i ɡ o
Ռոլանդո	r o l ɑ n d o
Ռոկայում	r o k ɑ j u m
ռոմանական	r o m ɑ n ɑ k ɑ n
Ռոմանտիզմի	r o m ɑ n t i z m i
ռոմանտիկ	r o m ɑ n t i k
Ռոմանտիցիզմը	r o m ɑ n t i t͡sʰ i z m ə
Ռոմնիի	r o m n i i
Ռոմնիին	r o m n i i n
Ռոմնին	r o m n i n
Ռոյալ	r o j ɑ l
Ռոյի	r o j i
Ռոնալդ	r o n ɑ l d
Ռոջերսի	r o d͡ʒ e ɾ s i
Ռոսբի	r o s b i
Ռոսբիի	r o s b i i
Ռոսսա	r o s s ɑ
Ռոսսի	r o s s i
Ռոտորուայում	r o t o ɾ u ɑ j u m
Ռուանդայի	r u ɑ n d ɑ j i
Ռուգլանում	r u ɡ l ɑ n u m
Ռուդդի	r u d d i
ռումբ	r u m b
ռումբերով	r u m b e ɾ o v
ռումբը	r u m b ə
Ռումբի	r u m b i
ռումբն	r u m b n
Ռումելիան	r u m e l j ɑ n
ռումինական	r u m i n ɑ k ɑ n
ռումիներենն	r u m i n e ɾ e n n
Ռումինիայի	r u m i n j ɑ j i
ռուսական	r u s ɑ k ɑ n
Ռուսաստանը	r u s ɑ s t ɑ n ə
Ռուսաստանի	r u s ɑ s t ɑ n i
Ռուսաստանում	r u s ɑ s t ɑ n u m
ռուսերենն	r u s e ɾ e n n
Ռուստենբուրգ	r u s t e n b u ɾ ɡ
Ռոք	r o kʰ
Ռոքը	r o kʰ ə
սա	s ɑ
սաամիների	s ɑ ɑ m i n e ɾ i
սաամներ	s ɑ ɑ m n e ɾ
Սաարինեն	s ɑ ɑ ɾ i n e n
սալաքարերին	s ɑ l ɑ kʰ ɑ ɾ e ɾ i n
Սալիվանի	s ɑ l i v ɑ n i
սալորը	s ɑ l o ɾ ə
սալորի	s ɑ l o ɾ i
սակագներ	s ɑ k ɑ ɡ n e ɾ
սակագները	s ɑ k ɑ ɡ n e ɾ ə
սակագների	s ɑ k ɑ ɡ n e ɾ i
Սակայն	s ɑ k ɑ j n
սական	s ɑ k ɑ n
Սակիս	s ɑ k i s
Սակսն	s ɑ k s n
սահելը	s ɑ h e l ə
Սահելին	s ɑ h e l i n
սահմանագոտու	s ɑ h m ɑ n ɑ ɡ o t u
սահմանադրության	s ɑ h m ɑ n ɑ d ɾ u tʰ j ɑ n
սահմանադրությանը	s ɑ h m ɑ n ɑ d ɾ u tʰ j ɑ n ə
սահմանած	s ɑ h m ɑ n ɑ t͡s
սահմանակցում	s ɑ h m ɑ n ɑ k t͡sʰ u m
սահմանային	s ɑ h m ɑ n ɑ j i n
սահմանաչափն	s ɑ h m ɑ n ɑ t͡ʃʰ ɑ pʰ n
սահմանափակ	s ɑ h m ɑ n ɑ pʰ ɑ k
սահմանափակում	s ɑ h m ɑ n ɑ pʰ ɑ k u m
սահմանափակումներ	s ɑ h m ɑ n ɑ pʰ ɑ k u m n e ɾ
սահմանափակումները	s ɑ h m ɑ n ɑ pʰ ɑ k u m n e ɾ ə
սահմանափակումով	s ɑ h m ɑ n ɑ pʰ ɑ k u m o v
սահմանափակված	s ɑ h m ɑ n ɑ pʰ ɑ k v ɑ t͡s
սահմանափակվել	s ɑ h m ɑ n ɑ pʰ ɑ k v e l
սահմանափակվում	s ɑ h m ɑ n ɑ pʰ ɑ k v u m
սահմանել	s ɑ h m ɑ n e l
Սահմանը	s ɑ h m ɑ n ə
սահմանի	s ɑ h m ɑ n i
սահմանից	s ɑ h m ɑ n i t͡sʰ
սահմաններ	s ɑ h m ɑ n n e ɾ
սահմանները	s ɑ h m ɑ n n e ɾ ə
սահմանների	s ɑ h m ɑ n n e ɾ i
սահմաններին	s ɑ h m ɑ n n e ɾ i n
սահմաններից	s ɑ h m ɑ n n e ɾ i t͡sʰ
սահմաններում	s ɑ h m ɑ n n e ɾ u m
սահմանում	s ɑ h m ɑ n u m
սահմանումը	s ɑ h m ɑ n u m ə
սահմանված	s ɑ h m ɑ n v ɑ t͡s
սահմանվել	s ɑ h m ɑ n v e l
սահմանվի	s ɑ h m ɑ n v i
սահմռկեցուցիչ	s ɑ h m r k e t͡sʰ u t͡sʰ i t͡ʃʰ
սահնակների	s ɑ h n ɑ k n e ɾ i
սահում	s ɑ h u m
սահքը	s ɑ h kʰ ə
սաղմնային	s ɑ ʁ m n ɑ j i n
Սամիների	s ɑ m i n e ɾ i
սամիներն	s ɑ m i n e ɾ n
Սամոայի	s ɑ m o ɑ j i
Սայընս	s ɑ j ə n s
սայթաքուն	s ɑ j tʰ ɑ kʰ u n
սայլը	s ɑ j l ə
Սայլուղիները	s ɑ j l u ʁ i n e ɾ ə
Սայտոն	s ɑ j t o n
սայրերը	s ɑ j ɾ e ɾ ə
Սան	s ɑ n
սանդղակի	s ɑ n d ʁ ɑ k i
Սանկտ	s ɑ ŋ k t
Սանսկրիտը	s ɑ n s k ɾ i t ə
սանսկրիտն	s ɑ n s k ɾ i t n
սանսկրիտով	s ɑ n s k ɾ i t o v
Սանտա	s ɑ n t ɑ
Սանտիագո	s ɑ n t i ɑ ɡ o
Սանտո	s ɑ n t o
Սանտորինի	s ɑ n t o ɾ i n i
Սանտորումին	s ɑ n t o ɾ u m i n
սաունդթրեք	s ɑ u n d tʰ ɾ e kʰ
Սաունդում	s ɑ u n d u m
Սաչին	s ɑ t͡ʃʰ i n
Սապ	s ɑ p
սապատավոր	s ɑ p ɑ t ɑ v o ɾ
Սառա	s ɑ r ɑ
սառեցնող	s ɑ r e t͡sʰ n o ʁ
Սառը	s ɑ r ə
Սառոջա	s ɑ r o d͡ʒ ɑ
սառույցը	s ɑ r u j t͡sʰ ə
սառույցի	s ɑ r u j t͡sʰ i
սառույցից	s ɑ r u j t͡sʰ i t͡sʰ
սառույցով	s ɑ r u j t͡sʰ o v
սառուցյալ	s ɑ r u t͡sʰ j ɑ l
Սառցադաշտերը	s ɑ r t͡sʰ ɑ d ɑ ʃ t e ɾ ə
Սառցադաշտերի	s ɑ r t͡sʰ ɑ d ɑ ʃ t e ɾ i
սառցադաշտի	s ɑ r t͡sʰ ɑ d ɑ ʃ t i
սառցադաշտով	s ɑ r t͡sʰ ɑ d ɑ ʃ t o v
սառցահողմեր	s ɑ r t͡sʰ ɑ h o ʁ m e ɾ
Սառցապատ	s ɑ r t͡sʰ ɑ p ɑ t
սառցե	s ɑ r t͡sʰ e
Սասեբո	s ɑ s e b o
սաստիկ	s ɑ s t i k
սավաննայի	s ɑ v ɑ n n ɑ j i
սավաննայում	s ɑ v ɑ n n ɑ j u m
սավաններով	s ɑ v ɑ n n e ɾ o v
սատկած	s ɑ t k ɑ t͡s
սատկում	s ɑ t k u m
Սատորու	s ɑ t o ɾ u
Սատուրնի	s ɑ t u ɾ n i
սարահարթ	s ɑ ɾ ɑ h ɑ ɾ tʰ
սարահարթը	s ɑ ɾ ɑ h ɑ ɾ tʰ ə
սարահարթին	s ɑ ɾ ɑ h ɑ ɾ tʰ i n
Սարասվատի	s ɑ ɾ ɑ s v ɑ t i
սարը	s ɑ ɾ ə
սարն	s ɑ ɾ n
սարսափազդու	s ɑ ɾ s ɑ pʰ ɑ z d u
սարսափած	s ɑ ɾ s ɑ pʰ ɑ t͡s
սարսափելի	s ɑ ɾ s ɑ pʰ e l i
սարսափները	s ɑ ɾ s ɑ pʰ n e ɾ ə
սարք	s ɑ ɾ kʰ
սարքավորումները	s ɑ ɾ kʰ ɑ v o ɾ u m n e ɾ ə
սարքավորումների	s ɑ ɾ kʰ ɑ v o ɾ u m n e ɾ i
սարքեր	s ɑ ɾ kʰ e ɾ
սարքերի	s ɑ ɾ kʰ e ɾ i
սարքերին	s ɑ ɾ kʰ e ɾ i n
սարքը	s ɑ ɾ kʰ ə
սարքի	s ɑ ɾ kʰ i
սարքն	s ɑ ɾ kʰ n
Սափ	s ɑ pʰ
սաֆարի	s ɑ f ɑ ɾ i
Սաֆարիները	s ɑ f ɑ ɾ i n e ɾ ə
սաֆարիով	s ɑ f ɑ ɾ i o v
Սաֆինայի	s ɑ f i n ɑ j i
Սաֆիր-Սիմփսոն	s ɑ f i ɾ s i m pʰ s o n
Սեդան	s e d ɑ n
Սեզամ	s e z ɑ m
Սեզեն	s e z e n
սեզոն	s e z o n
սեզոնային	s e z o n ɑ j i n
սեզոնը	s e z o n ə
սեզոնի	s e z o n i
սեզոնին	s e z o n i n
սեթևեթություն	s e tʰ e v e tʰ u tʰ j u n
Սեինթ	s e i n tʰ
Սեինթ-Ժորժ	s e i n tʰ ʒ o ɾ ʒ
սեղան	s e ʁ ɑ n
սեղանի	s e ʁ ɑ n i
սեղմած	s e ʁ m ɑ t͡s
սեղմակներից	s e ʁ m ɑ k n e ɾ i t͡sʰ
սեղմիր	s e ʁ m i ɾ
սեղմում.	s e ʁ m u m
Սենատը	s e n ɑ t ə
Սենատի	s e n ɑ t i
սենատոր	s e n ɑ t o ɾ
Սենգը	s e ŋ ɡ ə
Սենթ	s e n tʰ
սենյակ	s e n j ɑ k
սենյակի	s e n j ɑ k i
սենյակների	s e n j ɑ k n e ɾ i
սենյակներում	s e n j ɑ k n e ɾ u m
սենյակում	s e n j ɑ k u m
սենսորի	s e n s o ɾ i
Սենտ-Սանսի	s e n t s ɑ n s i
Սենտինելի	s e n t i n e l i
Սեորկ	s e o ɾ k
սեպավոր	s e p ɑ v o ɾ
սեպեր	s e p e ɾ
Սեպուլվեդայի	s e p u l v e d ɑ j i
սեպտեմբեր	s e p t e m b e ɾ
սեպտեմբերի	s e p t e m b e ɾ i
սեպտեմբերին	s e p t e m b e ɾ i n
Սեջոնգ	s e d͡ʒ o ŋ ɡ
սեռական	s e r ɑ k ɑ n
սեռը	s e r ə
սեռի	s e r i
Սերենգետի	s e ɾ e ŋ ɡ e t i
Սերենգետիի	s e ɾ e ŋ ɡ e t i i
սերիաների	s e ɾ i ɑ n e ɾ i
սերինոսի	s e ɾ i n o s i
սերիոնս	s e ɾ i o n s
սերմերը	s e ɾ m e ɾ ə
սերմերի	s e ɾ m e ɾ i
սերմերից	s e ɾ m e ɾ i t͡sʰ
սերն	s e ɾ n
սերնդի	s e ɾ n d i
սերնդից	s e ɾ n d i t͡sʰ
սերունդ	s e ɾ u n d
սերունդների	s e ɾ u n d n e ɾ i
սերուցքով	s e ɾ u t͡sʰ kʰ o v
սերվերի	s e ɾ v e ɾ i
սերտ	s e ɾ t
Սև	s e v
սևեռում	s e v e r u m
սևը	s e v ə
Սևիլյայից	s e v i l j ɑ j i t͡sʰ
սեփական	s e pʰ ɑ k ɑ n
սեփականատերերի	s e pʰ ɑ k ɑ n ɑ t e ɾ e ɾ i
սեփականատիրության	s e pʰ ɑ k ɑ n ɑ t i ɾ u tʰ j ɑ n
սեփականը	s e pʰ ɑ k ɑ n ə
սեփականության	s e pʰ ɑ k ɑ n u tʰ j ɑ n
սեփականություն	s e pʰ ɑ k ɑ n u tʰ j u n
սեփականությունն	s e pʰ ɑ k ɑ n u tʰ j u n n
Սըստեյնըբլ	s ə s t e j n ə b l
Սթար	s tʰ ɑ ɾ
Սթարդասթ	s tʰ ɑ ɾ d ɑ s tʰ
Սթարդասթը	s tʰ ɑ ɾ d ɑ s tʰ ə
Սթարքի	s tʰ ɑ ɾ kʰ i
սթափ	s tʰ ɑ pʰ
Սթեյշընից	s tʰ e j ʃ ə n i t͡sʰ
Սթենլիում	s tʰ e n l i u m
Սթենֆորդի	s tʰ e n f o ɾ d i
Սթերնսի	s tʰ e ɾ n s i
Սթիվ	s tʰ i v
Սթիվեն	s tʰ i v e n
Սթոնը	s tʰ o n ə
Սթոունն	s tʰ o u n n
Սթրենդի	s tʰ ɾ e n d i
Սթրիթի	s tʰ ɾ i tʰ i
սի	s i
Սիանի	s i ɑ n i
Սիգն	s i ɡ n
սիդնեյցի	s i d n e j t͡sʰ i
Սիեմ	s i e m
Սիթիին	s i tʰ i i n
Սիթիին	s i tʰ i j i n
Սիխ	s i χ
Սիխիզմում	s i χ i z m u m
Սիխիներն	s i χ i n e ɾ n
Սիկհերն	s i k h e ɾ n
Սիկհիզմը	s i k h i z m ə
Սիմինոֆը	s i m i n o f ə
Սիմինոֆն	s i m i n o f n
Սիմոնը	s i m o n ə
Սիմփսոնսը	s i m pʰ s o n s ə
սիմֆոնիկ	s i m f o n i k
Սինգապուր	s i ŋ ɡ ɑ p u ɾ
Սինգապուրը	s i ŋ ɡ ɑ p u ɾ ə
Սինգապուրի	s i ŋ ɡ ɑ p u ɾ i
Սինգը	s i ŋ ɡ ə
Սինխուան	s i n χ u ɑ n
Սինհյուա	s i n h j u ɑ
Սինոճապոնական	s i n o t͡ʃ ɑ p o n ɑ k ɑ n
Սինտրա	s i n t ɾ ɑ
Սինտրան	s i n t ɾ ɑ n
սիրալիր	s i ɾ ɑ l i ɾ
սիրամարգ	s i ɾ ɑ m ɑ ɾ ɡ
սիրելի	s i ɾ e l i
սիրելիներին	s i ɾ e l i n e ɾ i n
Սիրենայում	s i ɾ e n ɑ j u m
Սիրենան	s i ɾ e n ɑ n
Սիրիան	s i ɾ i ɑ n
Սիրիփոռնից	s i ɾ i pʰ o r n i t͡sʰ
սիրո	s i ɾ o
սիրող	s i ɾ o ʁ
սիրողական	s i ɾ o ʁ ɑ k ɑ n
սիրով	s i ɾ o v
սիրում	s i ɾ u m
սիրված	s i ɾ v ɑ t͡s
սիրտ	s i ɾ t
սիրտն	s i ɾ t n
Սիքս	s i kʰ s
սլանալով	s ə l ɑ n ɑ l o v
սլաքի	s ə l ɑ kʰ i
Սլովակիան	s l o v ɑ k j ɑ n
Սլովենիայից	s l o v e n j ɑ j i t͡sʰ
սխալ	s ə χ ɑ l
սխալմամբ	s ə χ ɑ l m ɑ m b
սխրանքներ-ն	s ə χ ɾ ɑ ŋ kʰ n e ɾ n
Սկայպն	s k ɑ j p n
սկանդալ	s k ɑ n d ɑ l
սկանդինավյան	s k ɑ n d i n ɑ v j ɑ n
սկաները	s k ɑ n e ɾ ə
սկաներներով	s k ɑ n e ɾ n e ɾ o v
սկավառակի	s k ɑ v ɑ r ɑ k i
սկզբանե	s k ə z b ɑ n e
սկզբին	s k ə z b i n
սկզբից	s k ə z b i t͡sʰ
Սկզբնական	s k ə z b n ɑ k ɑ n
սկզբնակետ	s k ə z b n ɑ k e t
սկզբնաղբյուր	s k ə z b n ɑ χ p j u ɾ
սկզբում	s k ə z b u m
սկզբունքային	s k ə z b u ŋ kʰ ɑ j i n
Սկզբունքերե	s k ə z b u ŋ kʰ e ɾ e
սկզբունքներից	s k ə z b u ŋ kʰ n e ɾ i t͡sʰ
սկզբունքներով	s k ə z b u ŋ kʰ n e ɾ o v
սկզբունքով	s k ə z b u ŋ kʰ o v
սկիզբ	s k i z b
սկիզբը	s k i z b ə
սկիզբն	s k i z b n
սկլերոզի	s k l e ɾ o z i
սկոպոլամինի	s k o p o l ɑ m i n i
Սկոտարբ	s k o t ɑ ɾ b
սկսած	s k ə s ɑ t͡s
սկսած	s k ə s ɑ t͡s
սկսեին	s k ə s e j i n
սկսեին	s k ə s e i n
սկսել	s k ə s e l
սկսելով	s kʰ ə s e l o v
սկսելով	s k ə s e l o v
սկսելու	s kʰ ə s e l u
սկսելու	s k ə s e l u
սկսելուց	s kʰ ə s e l u t͡sʰ
սկսելուց	s k ə s e l u t͡sʰ
սկսենք	s kʰ ə s e ŋ kʰʰ
սկսենք	s k ə s e ŋ kʰ
սկսես	s kʰ ə s e s
սկսես	s k ə s e s
սկսեր	s kʰ ə s e ɾ
սկսեր	s k ə s e ɾ
սկսեց	s kʰ ə s e t͡sʰ
